clip_007|We promptly judged antique ivory buckles for the next prize.
clip_009|Watch Jeopardy, Alex Trebek's fun TV quiz game.
clip_010|The jay, pig, fox, zebra, and my wolves quack!
clip_003|How vexingly quick daft zebras jump!
clip_002|Pack my box with five dozen liquor jugs.
clip_011|Hello, my name is Daniel, and I'm recording this voice sample.
clip_001|The quick brown fox jumps over the lazy dog.
clip_008|A wizard's job is to vex chumps quickly in fog.
clip_004|Sphinx of black quartz, judge my vow.
clip_006|Jackdaws love my big sphinx of quartz.
